IP,Port,Protocol,Status,Timestamp,TotalUptime,Restart_times,Score
203.141.139.65,,,,,55377.0,,0.0
121.143.97.141,,,,,15206.0,,0.0
111.67.190.71,,,,,12689.0,,0.0
220.208.47.8,,,,,10286.0,,0.0
84.90.103.20,,,,,9123.0,,0.0
219.100.37.239,,nan,,,13832.0,,0.0
219.100.37.244,,nan,,,79302.0,,0.0
219.100.37.236,,nan,,,84791.0,,0.0
122.208.194.99,,nan,,,4848.0,,0.0
219.100.37.243,,nan,,,45360.0,,0.0
60.142.211.46,,nan,,,725.0,,0.0
219.100.37.245,,nan,,,45360.0,,0.0
125.189.205.171,,nan,,,1460.0,,0.0
219.100.37.233,,nan,,,23362.0,,0.0
106.150.249.101,,nan,,,643.0,,0.0
113.10.25.18,,nan,,,45357.0,,0.0
121.107.121.151,,nan,,,1192.0,,0.0
219.100.37.234,,nan,,,86400.0,,0.0
113.153.93.34,,nan,,,46491.0,,0.0
219.100.37.246,,nan,,,86403.0,,0.0
131.191.75.226,,nan,,,13827.0,,0.0
133.209.101.254,,nan,,,15376.0,,0.0
173.198.248.39,,nan,,,52783.0,,0.0
195.123.240.66,,nan,,,1149.0,,0.0
219.100.37.238,,nan,,,45360.0,,0.0
139.255.138.4,,,,,10356.0,,75.0
118.170.151.50,,,,,17939.0,,75.0
124.248.170.100,,,,,56006.0,,75.0
58.136.202.99,,,,,3692.0,,75.0
27.76.234.237,,,,,77899.0,,75.0
220.133.72.160,,,,,1883.0,,75.0
118.170.130.234,,,,,3409.0,,75.0
118.170.131.85,,,,,27539.0,,75.0
118.170.135.194,,,,,2939.0,,75.0
118.170.135.236,,,,,9000.0,,75.0
118.170.136.112,,,,,8277.0,,75.0
118.170.138.95,,,,,10753.0,,75.0
118.170.159.165,,,,,4593.0,,75.0
118.170.162.83,,,,,3534.0,,75.0
118.170.167.120,,,,,6058.0,,75.0
118.170.134.47,,,,,22403.0,,75.0
181.91.84.240,,nan,,,6007.0,,75.0
222.235.152.77,,,,,3908.0,,100.0
39.123.225.225,,,,,9706.0,,100.0
50.39.173.233,,,,,5528.0,,100.0
211.63.214.173,,,,,10874.0,,100.0
1.227.180.92,,,,,13062.0,,100.0
110.4.217.86,,,,,7288.0,,100.0
112.166.187.104,,,,,15210.0,,100.0
112.172.224.59,,,,,10348.0,,100.0
115.124.61.232,,,,,19960.0,,100.0
106.172.110.218,,nan,,,23570.0,,100.0
121.125.188.17,,,,,11258.0,,100.0
118.158.186.186,,nan,,,1842.0,,100.0
121.161.57.110,,,,,1357.0,,100.0
220.92.235.26,,nan,,,29834.0,,100.0
126.107.193.33,,,,,15199.0,,100.0
126.79.55.127,,,,,46840.0,,100.0
153.211.237.62,,,,,37818.0,,100.0
153.225.40.193,,,,,65697.0,,100.0
175.210.209.16,,,,,1081.0,,100.0
180.199.33.194,,,,,58045.0,,100.0
211.224.74.42,,,,,9485.0,,100.0
218.156.95.151,,,,,58031.0,,100.0
180.146.31.172,,,,,15207.0,,100.0
